L;N;kx_mono;P_type1_mono;P_type2_mono_1;P_type2_mono_2;P_type2_mono_3;P_type2_mono_4;P_type2_mono_5;P_type2_mono_6;kx_bi;P_type1_bi;P_type2_bi_1;P_type2_bi_2;P_type2_bi_3;P_type2_bi_4;P_type2_bi_5;P_type2_bi_6
10;10000;2;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1;1.0;0.0;0.0;0.0;0.0;0.0;0.0
100;10000;2;0.06583312069405456;0.07642255677468741;0.23360551161010462;0.27545292166368973;0.06953304414391426;0.33605511610104616;0.03763715233477928;1;0.8578719060984945;0.005741260525644297;0.0;0.0;0.00025516713447307985;0.0;0.0
1000;10000;2;0.0012755102040816757;0.7678571428571429;0.9987244897959183;0.9987244897959183;0.7525510204081632;0.9987244897959183;0.029336734693877552;1;0.0012755102040816757;0.036989795918367346;0.04081632653061224;0.036989795918367346;0.003826530612244898;0.08801020408163265;0.0
10000;1000;2;0.012658227848101222;0.9113924050632911;0.9873417721518988;0.9873417721518988;0.8227848101265823;0.9873417721518988;0.05063291139240506;1;0.012658227848101222;0.13924050632911392;0.6835443037974683;0.8227848101265823;0.12658227848101267;0.9873417721518988;0.0
