L;N;P_type1;P_type2_1;P_type2_2;P_type2_3;P_type2_4;P_type2_5;P_type2_6
10;10000;0.7144285571442855;0.7144285571442855;0.7602239776022398;0.7761223877612239;0.7144285571442855;0.7689231076892311;0.9426057394260574
100;10000;0.073488134728247;0.073488134728247;0.9117121714723143;0.982265884154121;0.073488134728247;0.9982138300586885;1.0
1000;10000;0.0012755102040816757;0.0012755102040816326;0.9987244897959183;1.0;0.0012755102040816326;1.0;0.9298469387755102
10000;1000;0.012658227848101222;0.012658227848101266;0.9873417721518988;1.0;0.012658227848101266;1.0;0.9493670886075949
