L;N;P_type1_mono;P_type2_mono_1;P_type2_mono_2;P_type2_mono_3;P_type2_mono_4;P_type2_mono_5;P_type2_mono_6;P_type1_bi;P_type2_bi_1;P_type2_bi_2;P_type2_bi_3;P_type2_bi_4;P_type2_bi_5;P_type2_bi_6
10;10000;0.9821017898210179;0.0007999200079992001;0.0006999300069993001;0.00039996000399960006;0.00039996000399960006;0.0008999100089991;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
100;10000;0.01735136514416946;0.25810155651952027;0.651441694309773;0.7223781576932891;0.2745598366930339;0.7874457769839245;0.03763715233477928;0.8578719060984945;0.005741260525644297;0.0;0.0;0.00025516713447307985;0.0;0.0
1000;10000;0.0012755102040816757;0.8290816326530612;0.9987244897959183;0.9987244897959183;0.8048469387755102;0.9987244897959183;0.029336734693877552;0.0012755102040816757;0.036989795918367346;0.04081632653061224;0.036989795918367346;0.003826530612244898;0.08801020408163265;0.0
10000;1000;0.012658227848101222;0.9113924050632911;0.9873417721518988;0.9873417721518988;0.8227848101265823;0.9873417721518988;0.05063291139240506;0.012658227848101222;0.13924050632911392;0.6835443037974683;0.8227848101265823;0.12658227848101267;0.9873417721518988;0.0
