L;N;kx_mono;P_type1_mono;P_type2_mono_1;P_type2_mono_2;P_type2_mono_3;P_type2_mono_4;P_type2_mono_5;P_type2_mono_6;kx_bi;P_type1_bi;P_type2_bi_1;P_type2_bi_2;P_type2_bi_3;P_type2_bi_4;P_type2_bi_5;P_type2_bi_6
10;10000;1;0.7522247775222478;0.014698530146985302;0.012098790120987902;0.009799020097990201;0.014698530146985302;0.010198980101989802;0.020497950204979503;1;1.0;0.0;0.0;0.0;0.0;0.0;0.0
100;10000;1;0.0001275835672365222;0.9854554733350345;0.9975759122225057;0.9984689971931615;0.9749936208216382;0.9993620821638173;0.9580250063791783;1;0.30530747639704003;0.027047716254146467;0.0003827507017096198;0.00025516713447307985;0.0045930084205154376;0.00012758356723653993;0.03176830824189844
1000;10000;1;0.0012755102040816757;0.9987244897959183;0.9987244897959183;0.9987244897959183;0.9987244897959183;0.9987244897959183;0.9566326530612245;1;0.0012755102040816757;0.38392857142857145;0.45153061224489793;0.4362244897959184;0.3635204081632653;0.5153061224489796;0.11734693877551021
10000;1000;1;0.012658227848101222;0.9873417721518988;0.9873417721518988;0.9873417721518988;0.9873417721518988;0.9873417721518988;0.9493670886075949;1;0.012658227848101222;0.8734177215189873;0.9873417721518988;0.9873417721518988;0.8860759493670886;0.9873417721518988;0.0759493670886076
