L;N;kf_mono;P_type1_mono;P_type2_mono_1;P_type2_mono_2;P_type2_mono_3;P_type2_mono_4;P_type2_mono_5;P_type2_mono_6;kf_bi;P_type1_bi;P_type2_bi_1;P_type2_bi_2;P_type2_bi_3;P_type2_bi_4;P_type2_bi_5;P_type2_bi_6
10;10000;5;0.2425757424257574;0.10598940105989402;0.12168783121687832;0.12568743125687432;0.09519048095190481;0.12308769123087691;0.125987401259874;20;1.0;0.0;0.0;0.0;0.0;0.0;0.0
100;10000;5;0.0001275835672365222;0.9998724164327635;0.9998724164327635;0.9998724164327635;0.9998724164327635;0.9998724164327635;0.8758611890788467;20;0.003062005613676977;0.029599387598877265;0.00025516713447307985;0.00012758356723653993;0.002041337075784639;0.0;0.0
1000;10000;5;0.0012755102040816757;0.9987244897959183;0.9987244897959183;0.9987244897959183;0.9987244897959183;0.9987244897959183;0.8788265306122449;20;0.0012755102040816757;0.7002551020408163;0.9987244897959183;0.9987244897959183;0.7028061224489796;0.9987244897959183;0.0
10000;1000;5;0.012658227848101222;0.9873417721518988;0.9873417721518988;0.9873417721518988;0.9873417721518988;0.9873417721518988;0.8607594936708861;20;0.012658227848101222;0.9873417721518988;0.9873417721518988;0.9873417721518988;0.9873417721518988;0.9873417721518988;0.0
