L;N;P_type1;P_type2_1;P_type2_2;P_type2_3;P_type2_4;P_type2_5;P_type2_6
10;10000;0.0;9.999000099990002e-05;0.7442255774422558;0.7609239076092391;9.999000099990002e-05;0.7517248275172482;0.8212178782121787
100;10000;0.0;0.00012758356723653993;0.854427149783108;0.9220464404184741;0.00012758356723653993;0.9628731819341669;0.7209747384536872
1000;10000;0.0;0.0012755102040816326;0.9987244897959183;1.0;0.0012755102040816326;0.9987244897959183;0.9375
10000;1000;0.0;0.012658227848101266;0.9873417721518988;1.0;0.012658227848101266;0.9873417721518988;0.9493670886075949
