L;N;kx_mono;P_type1_mono;P_type2_mono_1;P_type2_mono_2;P_type2_mono_3;P_type2_mono_4;P_type2_mono_5;P_type2_mono_6;kx_bi;P_type1_bi;P_type2_bi_1;P_type2_bi_2;P_type2_bi_3;P_type2_bi_4;P_type2_bi_5;P_type2_bi_6
10;10000;1;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1;1.0;0.0;0.0;0.0;0.0;0.0;0.0
100;10000;1;0.0001275835672365222;0.9998724164327635;0.9998724164327635;0.9998724164327635;0.9998724164327635;0.9998724164327635;0.9998724164327635;1;1.0;0.0;0.0;0.0;0.0;0.0;0.0
1000;10000;1;0.0012755102040816757;0.9987244897959183;0.9987244897959183;0.9987244897959183;0.9987244897959183;0.9987244897959183;0.9987244897959183;1;0.0012755102040816757;0.31505102040816324;0.28316326530612246;0.3010204081632653;0.39668367346938777;0.2857142857142857;0.3022959183673469
10000;1000;1;0.012658227848101222;0.9873417721518988;0.9873417721518988;0.9873417721518988;0.9873417721518988;0.9873417721518988;0.9873417721518988;1;0.012658227848101222;0.9873417721518988;0.9873417721518988;0.9873417721518988;0.9873417721518988;0.9873417721518988;0.8987341772151899
