L;N;P_type1_mono;P_type2_mono_1;P_type2_mono_2;P_type2_mono_3;P_type2_mono_4;P_type2_mono_5;P_type2_mono_6;P_type1_bi;P_type2_bi_1;P_type2_bi_2;P_type2_bi_3;P_type2_bi_4;P_type2_bi_5;P_type2_bi_6
10;10000;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
100;10000;0.21918856851237556;0.031895891809134984;0.273156417453432;0.3773921918856851;0.015947945904567492;0.47333503444756314;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
1000;10000;0.0012755102040816757;0.5;0.9987244897959183;0.9987244897959183;0.49107142857142855;0.9987244897959183;0.0;0.8392857142857143;0.003826530612244898;0.0;0.0;0.0;0.0;0.0
10000;1000;0.012658227848101222;0.5443037974683544;0.9873417721518988;0.9873417721518988;0.5189873417721519;0.9873417721518988;0.0;0.012658227848101222;0.012658227848101266;0.0379746835443038;0.1518987341772152;0.0;0.9873417721518988;0.0
