L;N;kx_mono;P_type1_mono;P_type2_mono_1;P_type2_mono_2;P_type2_mono_3;P_type2_mono_4;P_type2_mono_5;P_type2_mono_6;kx_bi;P_type1_bi;P_type2_bi_1;P_type2_bi_2;P_type2_bi_3;P_type2_bi_4;P_type2_bi_5;P_type2_bi_6
10;10000;2;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1;1.0;0.0;0.0;0.0;0.0;0.0;0.0
100;10000;2;0.6960959428425619;0.010461852513396274;0.009696351109977035;0.017861699413115592;0.0006379178361826997;0.029982138300586884;0.0;1;1.0;0.0;0.0;0.0;0.0;0.0;0.0
1000;10000;2;0.0012755102040816757;0.399234693877551;0.9987244897959183;0.9987244897959183;0.36607142857142855;0.9987244897959183;0.0;1;0.8392857142857143;0.003826530612244898;0.0;0.0;0.0;0.0;0.0
10000;1000;2;0.012658227848101222;0.5443037974683544;0.9873417721518988;0.9873417721518988;0.5189873417721519;0.9873417721518988;0.0;1;0.012658227848101222;0.012658227848101266;0.0379746835443038;0.1518987341772152;0.0;0.9873417721518988;0.0
